id,company,title,domain,city,state,location,type,stipend,duration,skills,applications,rating,openings,posted_date,deadline,demand_score,growth_trend,source,is_live
1333844105,CI&amp;T,Job 27573 Mid Data Developer Brasil Intern,Cloud Computing,Remote,Global,"Remote, Global",Remote,50000,3 Months,"developer, cloud, digital nomad",2697,4.3,8,2026-02-19,2026-03-22,74.1,24.3,RemoteOK,True
124163833,CI&amp;T,Job 27611 MidSenior Data Developer Brasil Intern,UI/UX Design,Remote,Global,"Remote, Global",Remote,30000,6 Months,"developer, design, unity, digital nomad",453,3.9,3,2026-02-19,2026-03-22,75.2,26.6,RemoteOK,True
2129261012,CI&amp;T,Job 27602 Mid level Developer NodeJS Brazil Intern,Cloud Computing,Remote,Global,"Remote, Global",Remote,50000,6 Months,"developer, javascript, nodejs, cloud, api, digital nomad",2218,4.3,5,2026-02-19,2026-03-22,61.7,9.6,RemoteOK,True
1138477964,Workleap,Sp̩cialiste en acquisition de talents Pipeline & Sourcing Intern,UI/UX Design,Remote,Global,"Remote, Global",Remote,40000,6 Months,"microsoft, leader",1993,4.4,2,2026-02-19,2026-03-22,50.7,26.9,RemoteOK,True
2723870846,Power Digital,Social Commerce Strategist Intern,Digital Marketing,Remote,Global,"Remote, Global",Remote,20000,3 Months,"consulting, strategist, growth, investment, content, marketing",2273,4.6,6,2026-02-19,2026-03-22,82.9,5.4,RemoteOK,True
1791090745,Ubiminds,Mid Level DevOps Engineer CI CD Optimization Intern,DevOps,Remote,Global,"Remote, Global",Remote,40000,3 Months,"design, hr, system, security, docker, recruiter, support, developer",2008,4.6,3,2026-02-19,2026-03-22,45.3,7.0,RemoteOK,True
3239503140,ARC&#39;TERYX,Director Asset Protection NAM Retail Intern,Cybersecurity,Remote,Global,"Remote, Global",Remote,15000,6 Months,"director, security, training, support, growth, financial, investment, leader",1087,4.2,8,2026-02-19,2026-03-22,64.4,22.4,RemoteOK,True
3208127302,Xsolla,HR Project Coordinator Intern,UI/UX Design,Remote,Global,"Remote, Global",Remote,50000,3 Months,"hr, game, coordinator, support, financial, video, operational, recruitment",162,4.2,4,2026-02-19,2026-03-22,87.6,23.3,RemoteOK,True
653425471,,Senior Account Executive Western Europe Intern,Web Development,Remote,Global,"Remote, Global",Remote,50000,6 Months,"saas, game, finance, senior, sales, executive",317,4.7,5,2026-02-19,2026-03-22,58.7,11.0,RemoteOK,True
3823666546,Mechanical Orchard,Engineering Manager Delivery Intern,Software Development,Remote,Global,"Remote, Global",Remote,40000,6 Months,"manager, system, technical, support, software, growth, travel, operational",384,4.8,9,2026-02-19,2026-03-22,43.7,20.4,RemoteOK,True
2043953671,Power Digital,Senior Marketing Science Strategist Intern,Digital Marketing,Remote,Global,"Remote, Global",Remote,30000,6 Months,"consulting, strategist, testing, growth, investment, content, senior, marketing",1092,4.8,6,2026-02-19,2026-03-22,56.5,12.2,RemoteOK,True
138407965,Ada,Director Global Consulting & System Integrator Partnerships Intern,Data Science,Remote,Global,"Remote, Global",Remote,20000,6 Months,"system, consulting, director, growth, management, lead",1829,4.1,10,2026-02-19,2026-03-22,80.2,22.7,RemoteOK,True
