model,feature,importance
RF_Regressor,stipend,0.0
RF_Regressor,applications,0.0
RF_Regressor,rating,0.0
RF_Regressor,openings,0.0
RF_Regressor,demand_score,0.999998
RF_Regressor,growth_trend,0.0
RF_Regressor,duration_months,0.0
RF_Regressor,skill_count,0.0
RF_Regressor,is_remote,0.0
RF_Regressor,is_hybrid,0.0
RF_Regressor,city_tier,0.0
RF_Regressor,company_listing_count,0.0
RF_Regressor,is_large_company,0.0
RF_Regressor,stipend_per_opening,0.0
RF_Regressor,app_density,0.0
RF_Regressor,log_applications,0.0
RF_Regressor,log_stipend,0.0
RF_Regressor,domain_avg_stipend,0.0
RF_Regressor,domain_avg_apps,0.0
RF_Regressor,has_ml_skills,0.0
RF_Regressor,has_web_skills,0.0
RF_Regressor,post_month,0.0
RF_Regressor,is_peak,0.0
RF_Regressor,domain_enc,0.0
RF_Regressor,city_enc,0.0
RF_Regressor,company_enc,0.0
RF_Regressor,type_enc,0.0
RF_Regressor,state_enc,0.0
RF_Regressor,title_enc,0.0
RF_Regressor,type_On-Site,0.0
RF_Regressor,stipend_category_High,0.0
RF_Regressor,stipend_category_Low,0.0
RF_Regressor,stipend_category_Medium,0.0
RF_Regressor,stipend_category_Very High,0.0
RF_Regressor,stipend_category_Very Low,0.0
RF_Regressor,sk_adobe_xd,0.0
RF_Regressor,sk_python,0.0
RF_Regressor,sk_github_actions,0.0
RF_Regressor,sk_kafka,0.0
RF_Regressor,sk_webpack,0.0
RF_Regressor,sk_rabbitmq,0.0
RF_Regressor,sk_seo,0.0
RF_Regressor,sk_figma,0.0
RF_Regressor,sk_unity,0.0
RF_Regressor,sk_nginx,0.0
RF_Regressor,sk_sql,0.0
RF_Regressor,sk_pandas,0.0
RF_Regressor,sk_go,0.0
RF_Regressor,sk_power_bi,0.0
RF_Regressor,sk_ansible,0.0
RF_Regressor,sk_arduino,0.0
RF_Regressor,sk_agile,0.0
RF_Regressor,sk_flask,0.0
RF_Regressor,sk_numpy,0.0
RF_Regressor,sk_nlp,0.0
RF_Regressor,sk_opencv,0.0
RF_Regressor,sk_keras,0.0
RF_Regressor,sk_jira,0.0
RF_Regressor,sk_pytest,0.0
RF_Regressor,sk_deep_learning,0.0
RF_Regressor,sk_google_analytics,0.0
RF_Regressor,sk_plotly,0.0
RF_Regressor,sk_solidity,0.0
RF_Regressor,sk_javascript,0.0
RF_Regressor,sk_selenium,0.0
RF_Regressor,sk_vite,0.0
