id,company,company_logo,title,domain,city,state,location,type,stipend,duration,duration_months,skills,applications,rating,openings,posted_date,deadline,description,demand_score,growth_trend
1,Google India,🔵,UI/UX Designer Intern,UI/UX Design,Bhubaneswar,Odisha,"Bhubaneswar, Odisha",Hybrid,15000,4 Months,4,Material UI|Figma|Tailwind CSS|HTML/CSS|Streamlit|Unreal Engine,425,3.4,1,2025-02-25,2025-04-25,"Exciting UI/UX Designer Intern opportunity at Google India in the UI/UX Design domain. Work with cutting-edge technology in Bhubaneswar and gain hands-on experience with Material UI, Figma, Tailwind CSS.",30.7,22.3
2,Microsoft India,🟦,Perception Engineer Intern,Computer Vision,Delhi NCR,Delhi,"Delhi NCR, Delhi",Remote,22000,3 Months,3,OpenCV|Computer Vision|Python|TensorFlow|R|Recharts,97,4.2,11,2025-11-05,2025-12-05,"Exciting Perception Engineer Intern opportunity at Microsoft India in the Computer Vision domain. Work with cutting-edge technology in Delhi NCR and gain hands-on experience with OpenCV, Computer Vision, Python.",35.8,-7.8
3,Amazon India,🟠,Perception Engineer Intern,Computer Vision,Guwahati,Assam,"Guwahati, Assam",Remote,35000,3 Months,3,Python|Computer Vision|Deep Learning|PyTorch|Unity|Playwright,785,3.7,2,2025-11-08,2025-12-08,"Exciting Perception Engineer Intern opportunity at Amazon India in the Computer Vision domain. Work with cutting-edge technology in Guwahati and gain hands-on experience with Python, Computer Vision, Deep Learning.",41.5,37.0
4,Flipkart,🟡,NLP Engineer Intern,Natural Language Processing,Indore,Madhya Pradesh,"Indore, Madhya Pradesh",Remote,50000,1 Month,1,GPT|Python|TensorFlow|NLP|D3.js|RabbitMQ,340,3.7,4,2025-03-07,2025-05-07,"Exciting NLP Engineer Intern opportunity at Flipkart in the Natural Language Processing domain. Work with cutting-edge technology in Indore and gain hands-on experience with GPT, Python, TensorFlow.",46.6,-6.5
5,Infosys,🔷,React Native Intern,Mobile Development,Chandigarh,Punjab,"Chandigarh, Punjab",On-site,5000,2 Months,2,React Native|Firebase|Swift|Flutter|Elasticsearch|Recharts,502,4.4,1,2025-07-11,2025-09-11,"Exciting React Native Intern opportunity at Infosys in the Mobile Development domain. Work with cutting-edge technology in Chandigarh and gain hands-on experience with React Native, Firebase, Swift.",25.9,0.5
6,TCS,🔶,Business Analyst Intern,Product Management,Mangalore,Karnataka,"Mangalore, Karnataka",Hybrid,30000,6 Months,6,JIRA|Figma|Scrum|Excel|Prisma|Spark,326,3.2,3,2025-06-13,2025-08-13,"Exciting Business Analyst Intern opportunity at TCS in the Product Management domain. Work with cutting-edge technology in Mangalore and gain hands-on experience with JIRA, Figma, Scrum.",31.2,36.4
7,Wipro,🟢,DeFi Engineer Intern,Blockchain,Thiruvananthapuram,Kerala,"Thiruvananthapuram, Kerala",On-site,30000,3 Months,3,Solidity|JavaScript|Hardhat|Ethereum|Prisma|Matplotlib,537,3.7,4,2025-02-07,2025-04-07,"Exciting DeFi Engineer Intern opportunity at Wipro in the Blockchain domain. Work with cutting-edge technology in Thiruvananthapuram and gain hands-on experience with Solidity, JavaScript, Hardhat.",32.7,3.8
8,Zoho,🔴,Data Science Intern,Data Science,Nagpur,Maharashtra,"Nagpur, Maharashtra",Remote,15000,2 Months,2,Python|Pandas|Tableau|Power BI|HTML/CSS|Snowflake,768,4.3,1,2025-04-09,2025-06-09,"Exciting Data Science Intern opportunity at Zoho in the Data Science domain. Work with cutting-edge technology in Nagpur and gain hands-on experience with Python, Pandas, Tableau.",41.3,23.8
9,Razorpay,💙,Azure Engineer Intern,Cloud Computing,Bhopal,Madhya Pradesh,"Bhopal, Madhya Pradesh",Remote,15000,5 Months,5,AWS|Kubernetes|GCP|Terraform|Content Writing|Flutter,798,3.7,1,2025-04-17,2025-06-17,"Exciting Azure Engineer Intern opportunity at Razorpay in the Cloud Computing domain. Work with cutting-edge technology in Bhopal and gain hands-on experience with AWS, Kubernetes, GCP.",38.1,-7.7
10,Swiggy,🧡,Generative AI Intern,AI Research,Hyderabad,Telangana,"Hyderabad, Telangana",Remote,50000,2 Months,2,Python|Computer Vision|TensorFlow|PyTorch|Rust|Unity,972,4.5,3,2025-01-28,2025-03-28,"Exciting Generative AI Intern opportunity at Swiggy in the AI Research domain. Work with cutting-edge technology in Hyderabad and gain hands-on experience with Python, Computer Vision, TensorFlow.",54.2,-0.8
